platform,kategori_utama,sub_kategori,judul_listing,harga,rating,jumlah_order,durasi_hari,skills,url_listing
fastwork,Web dan Pemrograman,Web Development,Jasa Pembuatan Aplikasi Profesional berbasis Web dengan Laravel/CodeIgniter,1500000.0,,2.0,7.0,"Laravel, CodeIgniter",https://fastwork.id/user/rizkygho/web-development-16051546?badges=milestone&page=2&position=13&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Sistem Absensi Digital (Web / Mobile / Fingerprint Integration/ Barcode/ Face),3000000.0,,,,,https://fastwork.id/user/digitaltech/web-development-17599810?badges=&page=2&position=14&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website | Personal, Company Profile, Landing Page, Custom",500000.0,5.0,4.0,7.0,,https://fastwork.id/user/alvianugro/web-development-84664501?badges=&page=2&position=15&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Website Company Profile, eCommerce, Blog Berbasis Wordpress - Gratis Maintenance Selamanya",1500000.0,4.9,209.0,5.0,WordPress,https://fastwork.id/user/ansorifaiz/web-development-23094917?badges=milestone&page=2&position=16&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Pembuatan Website Profesional Company Profile, Landing Page, E-commerce",1400000.0,,,1.0,,https://fastwork.id/user/habils/web-development-41510493?badges=&page=2&position=17&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Pembuatan Aplikasi Web Profesional & Custom,1500000.0,,1.0,5.0,,https://fastwork.id/user/trioaditya/web-development-58543736?badges=&page=2&position=18&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Fullstack Web Developer dan IT Support,1400000.0,5.0,1.0,7.0,,https://fastwork.id/user/hubwork/web-development-18456556?badges=milestone&page=2&position=19&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Web Development,1500000.0,,,1.0,,https://fastwork.id/user/rabelion/web-development-76462031?badges=&page=2&position=20&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Pembuatan Website (Web Development),1400000.0,,,3.0,,https://fastwork.id/user/taufikindrwn/web-development-26023496?badges=&page=2&position=21&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Sistem Web Booking Dokter Psikolog Spa Salon Padel Yoga dan lainnya,5000000.0,5.0,11.0,14.0,,https://fastwork.id/user/hubwork/web-development-26666945?badges=milestone&page=2&position=22&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,JASA BIKIN WEBSITE MUDAH DAN CEPAT / DENGAN WORDPRESS,1400000.0,5.0,3.0,3.0,WordPress,https://fastwork.id/user/radenm/web-development-18209361?badges=&page=2&position=23&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Nodejs Backend RESTful API,1400000.0,5.0,19.0,30.0,"Node.js, REST API",https://fastwork.id/user/rivalarya/web-development-91204126?badges=rehire&page=2&position=24&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Pembuatan Website dan Aplikasi Custom untuk Kebutuhan Pribadi & Bisnis (ERP, HRIS, E-commerce)",1400000.0,5.0,1.0,30.0,,https://fastwork.id/user/irfanmqrb/web-development-41029698?badges=&page=2&position=25&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website Company Profile, eCommerce, LMS, Point Of Sales, Landingpage sendy",1000000.0,5.0,5.0,3.0,,https://fastwork.id/user/sendyland/web-development-42743995?badges=milestone&page=2&position=26&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,JASA PEMBUATAN CUSTOM APLIKASI,1400000.0,5.0,14.0,7.0,,https://fastwork.id/user/galangraka/web-development-98178947?badges=&page=2&position=27&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Design Website Terbaik, Toko Online, ERP, Company Profile, POS",2500000.0,5.0,2.0,,,https://fastwork.id/user/pieterkd/web-development-71798706?badges=&page=2&position=28&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Google WebApp Appscript Developer,1400000.0,5.0,9.0,,,https://fastwork.id/user/kitkatlove/web-development-21075727?badges=rehire&page=2&position=29&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Website Toko Online / E-Commerce / E-Course / Kursus Online / Shopify,3000000.0,5.0,20.0,14.0,Shopify,https://fastwork.id/user/adamrege/web-development-62177196?badges=&page=2&position=30&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Pembuatan Web Laravel,1400000.0,5.0,1.0,5.0,Laravel,https://fastwork.id/user/rizkypsr/web-development-55326160?badges=&page=2&position=31&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Web Company Profile, Landing Page, Custom Professional Modern, Sistem Informasi, Project IT Website",1400000.0,4.9,25.0,1.0,,https://fastwork.id/user/adrasman/web-development-45525515?badges=milestone&page=2&position=32&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,pembuatan aplikasi web dan pwa,5000000.0,5.0,1.0,14.0,,https://fastwork.id/user/masroma75/web-development-41457275?badges=&page=2&position=33&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Pembuatan Website & Web App Custom untuk Berbagai Kebutuhan,1400000.0,5.0,5.0,3.0,,https://fastwork.id/user/arwebhouse/web-development-45102161?badges=milestone%2Crehire&page=2&position=34&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Pembuatan Web Application Fullstack,2000000.0,5.0,2.0,14.0,,https://fastwork.id/user/nipaalam31/web-development-65968500?badges=&page=2&position=35&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Bikin Landing Page / Website High Converting & SEO Optimized,1400000.0,5.0,8.0,7.0,SEO,https://fastwork.id/user/digitalman/web-development-14229105?badges=&page=2&position=36&source=browse&subcategorySlug=web-development
