platform,kategori_utama,sub_kategori,judul_listing,harga,rating,jumlah_order,durasi_hari,skills,url_listing,harga_raw,rating_raw,jumlah_order_raw,durasi_raw
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Law Firm Organisasi  Custom,300000.0,5.0,,2.0,,https://www.sribu.com/id/users/risqiwebsite.com/pembuatan-website-law-firm-organisasi-custom-123cbd84-2b5f-42a6-8a2d-59dd1e34b6b9,Rp300.000,5.0,,2 Hari Pengerjaan6 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Salon Boutique dan Custom,300000.0,5.0,,3.0,,https://www.sribu.com/id/users/risqiwebsite.com/pembuatan-website-salon-boutique-dan-custom-22019070-4efd-4562-beed-211bc0200476,Rp300.000,5.0,,3 Hari Pengerjaan20 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Listing Property ala IOS,300000.0,5.0,,3.0,,https://www.sribu.com/id/users/risqiwebsite.com/pembuatan-website-listing-property-ala-ios-94f7a453-587f-4759-bd6d-10c7fd758ea1,Rp300.000,5.0,,3 Hari Pengerjaan3 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Cafe dan Custom,300000.0,5.0,,2.0,,https://www.sribu.com/id/users/risqiwebsite.com/pembuatan-website-cafe-dan-custom-ba2935b5-2fd4-443f-a3d6-f38b0b0af6be,Rp300.000,5.0,,2 Hari Pengerjaan5 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Florist  Custom,300000.0,5.0,,2.0,,https://www.sribu.com/id/users/risqiwebsite.com/pembuatan-website-florist-custom-f41e26e3-7534-48f2-8311-8e20bcd86c03,Rp300.000,5.0,,2 Hari Pengerjaan3 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Premium The Archive Style,300000.0,5.0,,3.0,,https://www.sribu.com/id/users/risqiwebsite.com/pembuatan-website-premium-the-archive-style-abd2412b-632b-4ffd-b6c0-2e79e40c8203,Rp300.000,5.0,,3 Hari Pengerjaan3 Revisi
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Website Profesional,350000.0,5.0,,180.0,,https://www.sribu.com/id/users/Genovevaep/jasa-pembuatan-website-profesional-a70ef202-63cd-469c-bf27-c82204fd0b08,Rp350.000,5.0,,*pembayaran per 6 bulan atau 1 tahun
sribu,Web dan Pemrograman,Web Development,Pengembangan AI  Automasi Bisnis Kreatif,500000.0,5.0,,3.0,,https://www.sribu.com/id/users/Achmad_Farhan/pengembangan-ai-automasi-bisnis-kreatif-d44bd563-893f-4397-b1d5-1d72406845ae,Rp500.000,5.0,,3 Hari Pengerjaan1 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Sistem Manajemen Aset Web,2000000.0,5.0,,14.0,,https://www.sribu.com/id/users/arifwahyudi1/pembuatan-sistem-manajemen-aset-web-8f6f7e6c-48f5-44c4-a7f9-aa39423a8a0e,Rp2.000.000,5.0,,14 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Website Responsive Profesional,3333333.0,5.0,,5.0,,https://www.sribu.com/id/users/digirook/jasa-pembuatan-website-responsive-profesional-74366872-eaa2-40d3-b973-50a39cdf9c77,Rp3.333.333,5.0,,Durasi pengerjaan 3 - 5 hari....
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Website Company Profile Profesional,1500000.0,5.0,,5.0,,https://www.sribu.com/id/users/sakirsyarian/jasa-pembuatan-website-company-profile-profesional-3c3774d1-1bb1-413d-91fc-0b60deaa08d3,Rp1.500.000,5.0,,5 Hari Pengerjaan4 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Modern  Integrasi AI,500000.0,5.0,,5.0,,https://www.sribu.com/id/users/nathanielsteave/pembuatan-website-modern-integrasi-ai-362d8f30-1ef6-45a0-9a7a-74491ea32f19,Rp500.000,5.0,,5 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,Sistem Presensi Karyawan Deteksi Wajah dan Lokasi,1750000.0,5.0,,3.0,,https://www.sribu.com/id/users/veslavia/sistem-presensi-karyawan-deteksi-wajah-dan-lokasi-0c49fbe9-7036-4d8a-a98f-208799a1097f,Rp1.750.000,5.0,,3 Hari Pengerjaan0 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Profil Perusahaan Profesional,1500000.0,5.0,,5.0,,https://www.sribu.com/id/users/febridk.dev/pembuatan-website-profil-perusahaan-profesional-e036d91b-318e-4285-a9df-a25778ea3a97,Rp1.500.000,5.0,,5 Hari Pengerjaan5 Revisi
sribu,Web dan Pemrograman,Web Development,Fullstack Web Development Nextjs Laravel API I,2500000.0,5.0,,7.0,"Next.js, Laravel",https://www.sribu.com/id/users/faishal.dev/fullstack-web-development-nextjs-laravel-api-i-c9359182-a15e-49c0-8388-5ea02b272076,Rp2.500.000,5.0,,7 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Landing Page Modern ,300000.0,5.0,,2.0,,https://www.sribu.com/id/users/data_source/jasa-pembuatan-landing-page-modern-9172a649-b027-4df8-938e-54785c46bc94,Rp300.000,5.0,,2 Hari Pengerjaan1 Revisi
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Professional,100000.0,5.0,,2.0,,https://www.sribu.com/id/users/Inayah_baety/pembuatan-website-professional-b58ed02f-7ff6-4ea9-8410-f7ef6895a2fe,Rp100.000,5.0,,2 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,"Website (Proyek, Desain, Edit dan Maintenance)",3000000.0,5.0,,1.0,,https://www.sribu.com/id/users/ramosmarthin/website-proyek-desain-edit-dan-maintenance-0ae9e22c-1e64-49b0-a3dd-89fe23ef3b88,Rp3.000.000,5.0,,Respon Chat6 jamProyek Berjalan0
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Landing Page Profesional,150000.0,5.0,,3.0,,https://www.sribu.com/id/users/johanisdengen/jasa-pembuatan-landing-page-profesional-8693c12c-3f58-43db-89e1-65097acf7718,Rp150.000,5.0,,3 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,Jasa Aplikasi Website Custom,3500000.0,5.0,,1.0,,https://www.sribu.com/id/users/sayaichsan/jasa-aplikasi-website-custom-5eb7230d-3109-40a6-bc53-378a1357afad,Rp3.500.000,5.0,,Respon Chat17 jamProyek Berjalan0
sribu,Web dan Pemrograman,Web Development,Landing Page Efektif untuk Meningkatkan Konversi,450000.0,5.0,,3.0,,https://www.sribu.com/id/users/sakirsyarian/landing-page-efektif-untuk-meningkatkan-konversi-444f039d-34e2-45a3-bdac-2887fdd11060,Rp450.000,5.0,,3 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,Website Custom untuk Sistem dan Platform Digital,300000.0,5.0,,2.0,,https://www.sribu.com/id/users/FaisalJulio11/website-custom-untuk-sistem-dan-platform-digital-aea9e4a6-d13c-4f5e-b5eb-1ce32e95df68,Rp300.000,5.0,,2 Hari Pengerjaan2 Revisi
